Signal,LookAhead,Nunits,Bayesian_Dropout,Median_APE,Median_RSE,Mu_APE,Mu_RSE
TS_ARIMA,1,1,0,0.6531386599348422,0.23546207608652608,2.7297585500341013,0.23738254845663223
TS_ARIMA,1,1,0.05,0.6513812358348252,0.2352572344347662,2.709386305793516,0.2371476061845316
TS_ARIMA,1,1,0.1,0.6513531158288681,0.2352667921614418,2.710237260921068,0.2371501038450844
TS_ARIMA,1,1,0.2,0.6511088377170586,0.23522703988652288,2.7012540511218757,0.237148284723413
TS_ARIMA,1,5,0,0.6562019566430355,0.23533799800126365,2.6891417966986966,0.23724466098296051
TS_ARIMA,1,5,0.05,0.6571867855812881,0.23506660562199563,2.654882161466088,0.23700273960637164
TS_ARIMA,1,5,0.1,0.6548475692006211,0.23525783217126495,2.658172614340924,0.23700953340495115
TS_ARIMA,1,5,0.2,0.6562846411463026,0.23515072308558066,2.656728360017206,0.2370088594161103
TS_ARIMA,1,10,0,0.6575688909915409,0.23551746595729767,2.6689100464296667,0.23721323995194715
TS_ARIMA,1,10,0.05,0.6555631216951466,0.2352582505462782,2.654748080453858,0.23698963441950754
TS_ARIMA,1,10,0.1,0.6555087866396347,0.2352360124660024,2.6481469606941466,0.2369874248200051
TS_ARIMA,1,10,0.2,0.6563145951604787,0.23501535180284472,2.657641363845616,0.23698380425994778
TS_ARIMA,1,25,0,0.6578985811042017,0.23528507565215315,2.6615146889061094,0.23722243083698077
TS_ARIMA,1,25,0.05,0.6557057917813186,0.23516051913492148,2.644629652557951,0.2369879454467669
TS_ARIMA,1,25,0.1,0.6552607234849717,0.2351910409042946,2.6433404786214827,0.2369832959397842
TS_ARIMA,1,25,0.2,0.6554127306886124,0.23513510672238636,2.6433759527895373,0.2369921536319272
TS_ARIMA,1,50,0,0.6576681157450418,0.23524474624889125,2.6587933526404175,0.23722465263835046
TS_ARIMA,1,50,0.05,0.6549585199142278,0.23509026443807435,2.63897225325583,0.2369902565555257
TS_ARIMA,1,50,0.1,0.6553559873685691,0.2351434397333191,2.639266960529635,0.23699073459688347
TS_ARIMA,1,50,0.2,0.6551139793789,0.2351144117012218,2.6391173098450627,0.2369901540406136
TS_ARIMA,5,1,0,1.2258402544116849,0.32212080953177835,5.433693431043221,0.32462853058119157
TS_ARIMA,5,1,0.05,1.2414758985663243,0.32299087113293035,5.591519763525642,0.3255811426270979
TS_ARIMA,5,1,0.1,1.2414839321523594,0.322990975681402,5.591503625343381,0.3255812042307101
TS_ARIMA,5,1,0.2,1.241687872006221,0.3227876267189268,5.596566616512301,0.3255483991933786
TS_ARIMA,5,5,0,1.2307439546472516,0.3220571894579111,5.430842803621087,0.3249840710721949
TS_ARIMA,5,5,0.05,1.2366025939940724,0.322687206874267,5.498933481890585,0.32545331507842573
TS_ARIMA,5,5,0.1,1.2338786951018044,0.3222584598931229,5.5148609823263115,0.3254629393941137
TS_ARIMA,5,5,0.2,1.2304520824374006,0.3223880749038054,5.428230589474722,0.32534865592369416
TS_ARIMA,5,10,0,1.2312321450670356,0.3222283049968231,5.497584173982409,0.3250703221654673
TS_ARIMA,5,10,0.05,1.2381479774552826,0.3227389717469147,5.388494369573842,0.32540981522142315
TS_ARIMA,5,10,0.1,1.232144307955516,0.3218807279459007,5.488650017569537,0.3250685376641226
